Provider,IMAP Server,IMAP Port,IMAP Security
Bestmail.us,imap.fastmail.com,993,SSL
asimply.com,mail.simply.com,993,SSL
asimply.com,mail.simply.com,993,SSL
One.com,imap.one.com,993,SSL
Bestmail.us,imap.fastmail.com,993,SSL
orcon.net.nz,mail.orcon.net.nz,993,SSL
163.com,imap.163.com,993,SSL
One.com,imap.one.com,993,SSL
orcon.net.nz,mail.orcon.net.nz,993,SSL
163.com,imap.163.com,993,SSL
Cox.net,imap.cox.net,993,SSL
Sfr.fr,imap.sfr.fr,993,SSL
Cox.net,imap.cox.net,993,SSL
Club-internet.fr,imap.sfr.fr,993,SSL
Sfr.fr,imap.sfr.fr,993,SSL
Neuf.fr,imap.sfr.fr,993,SSL
Club-internet.fr,imap.sfr.fr,993,SSL
mailtech.com,imap.mailtech.com,993,SSL
Neuf.fr,imap.sfr.fr,993,SSL
mailtech.com,imap.mailtech.com,993,SSL
Office365,outlook.office365.com,993,SSL
Office365,outlook.office365.com,993,SSL
Ic.ac.uk,outlook.office365.com,993,SSL
Ic.ac.uk,outlook.office365.com,993,SSL
Msn.com,outlook.office365.com,993,SSL
Live.ca,outlook.office365.com,993,SSL
Msn.com,outlook.office365.com,993,SSL
Live.ca,outlook.office365.com,993,SSL
GoDaddy,imap.secureserver.net,993,SSL
GoDaddy,imap.secureserver.net,993,SSL
Secureserver.net,imap.secureserver.net,993,SSL
Secureserver.net,imap.secureserver.net,993,SSL
relay.plus.net,imap.plus.net,143,
Virginmedia.com,imap.virginmedia.com,993,SSL
relay.plus.net,imap.plus.net,143,
talktalk.net,mail.talktalk.net,993,SSL
Virginmedia.com,imap.virginmedia.com,993,SSL
tiscali.co.uk,mail.talktalk.net,993,SSL
talktalk.net,mail.talktalk.net,993,SSL
tiscali.co.uk,mail.talktalk.net,993,SSL
dial.pipex.com,mail.talktalk.net,993,SSL
dial.pipex.com,mail.talktalk.net,993,SSL
dsl.pipex.com,mail.talktalk.net,993,SSL
dsl.pipex.com,mail.talktalk.net,993,SSL
homecall.co.uk,mail.talktalk.net,993,SSL
homecall.co.uk,mail.talktalk.net,993,SSL
toucansurf.com,mail.talktalk.net,993,SSL
karoo.co.uk,imap.karoo.co.uk,143,
toucansurf.com,mail.talktalk.net,993,SSL
karoo.co.uk,imap.karoo.co.uk,143,
