Provider,POP3 Server,POP3 Port,POP3 Security
123-reg.co.uk,pop.123-reg.co.uk,995,SSL
139.com,pop.139.com,995,SSL
163.com,pop.163.com,995,SSL
1and1.co.uk,pop.1and1.co.uk,995,SSL
1and1.com,pop.1and1.com,995,SSL
1and1.fr,pop.1and1.fr,995,SSL
1uptime.net,mail.1uptime.net,995,SSL
2die4.com,pop.mail.com,995,SSL
a.hostedecom,mail.a.hostedemail.com,995,SSL
a1.net,pop.a1.net,110,
Abv.bg,pop3.abv.bg,995,SSL
Accountant.com,pop.mail.com,995,SSL
Activist.com,pop.mail.com,995,SSL
Adam.com.au,securemail.adam.com.au,995,SSL
Adexec.com,pop.mail.com,995,SSL
Africamail.com,pop.mail.com,995,SSL
Aim.com,pop.aol.com,995,SSL
Aircraftmail.com,pop.mail.com,995,SSL
Airmail.net,pop.airmail.net,995,
Alabama.usa.com,pop.mail.com,995,SSL
Alaska.usa.com,pop.mail.com,995,SSL
Aliceadsl.fr,pop.aliceadsl.fr,110,
Allergist.com,pop.mail.com,995,SSL
Alumni.com,pop.mail.com,995,SSL
Alumnidirector.com,pop.mail.com,995,SSL
Americamail.com,pop.mail.com,995,SSL
Amorous.com,pop.mail.com,995,SSL
Angelic.com,pop.mail.com,995,SSL
angkasatravel.co.id,mail.angkasatravel.co.id,995,SSL
Aol.com,pop.aol.com,995,SSL
aquiss.net,pop3.aquiss.net,110,
Archaeologist.com,pop.mail.com,995,SSL
Arcor.de,pop3.arcor.de,995,SSL
Arizona.usa.com,pop.mail.com,995,SSL
Artlover.com,pop.mail.com,995,SSL
Arubapec.it,pop3s.pec.aruba.it,995,SSL
asia.secureserver.net,pop.asia.secureserver.net,995,SSL
Asia-mail.com,pop.mail.com,995,SSL
Atheist.com,pop.mail.com,995,SSL
Atlas.cz,pop.atlas.cz,110,
Att.net,pop.mail.yahoo.com,995,SSL
Australiamail.com,pop.mail.com,995,SSL
auth.kundenserver.de,pop.kundenserver.de,995,SSL
authsecurepro,pop.securemail.pro,995,SSL
b.hostedecom,mail.b.hostedemail.com,995,SSL
Bartender.net,pop.mail.com,995,SSL
bbox.fr,pop3.bbox.fr,995,SSL
beget.ru,pop3.beget.ru,995,SSL
Bell.net,pophm.sympatico.ca,995,SSL
bellaliant.net,pop.bellaliant.net,110,
Bellsouth.net,pop.mail.yahoo.com,995,SSL
Berlin.com,pop.mail.com,995,SSL
Bestmail.us,pop.fastmail.com,995,SSL
Bigger.com,pop.mail.com,995,SSL
Bigpond.com,mail.bigpond.com,995,SSL
Bigpond.net,mail.bigpond.com,995,SSL
Bigpond.net.au,mail.bigpond.com,995,SSL
Bikerider.com,pop.mail.com,995,SSL
Birdlover.com,pop.mail.com,995,SSL
Bk.ru,pop.mail.ru,995,SSL
Blader.com,pop.mail.com,995,SSL
Blu.it,popmail.libero.it,995,SSL
Bluehost,mail.yourdomain.com,995,SSL
Bluemail.ch,pop3s.bluewin.ch,995,SSL
Bluewin.ch,pop3s.bluewin.ch,995,SSL
Boardermail.com,pop.mail.com,995,SSL
Bol.com.br,pop3.bol.com.br,995,SSL
Brazilmail.com,pop.mail.com,995,SSL
Brew-master.com,pop.mail.com,995,SSL
Btinternet.com,mail.btinternet.com,995,SSL
Btopenworld.com,mail.btinternet.com,995,SSL
cableone.net,mail.cableone.net,995,SSL
California.usa.com,pop.mail.com,995,SSL
Californiamail.com,pop.mail.com,995,SSL
callplus.net.nz,pop3.callplus.net.nz,110,
Caress.com,pop.mail.com,995,SSL
Casema.nl,pop.ziggo.nl,995,SSL
Catlover.com,pop.mail.com,995,SSL
Centrum.cz,pop3.centrum.cz,995,SSL
Centurylink.net,pop.centurylink.net,995,SSL
Cheerful.com,pop.mail.com,995,SSL
Chef.net,pop.mail.com,995,SSL
Chello.nl,pop.ziggo.nl,995,SSL
Chemist.com,pop.mail.com,995,SSL
Chinamail.com,pop.mail.com,995,SSL
Clear.net.nz,pop.clear.net.nz,110,
Clerk.com,pop.mail.com,995,SSL
Cliffhanger.com,pop.mail.com,995,SSL
Club-internet.fr,pop.sfr.fr,995,SSL
cogeco.ca,pop.cogeco.ca,995,SSL
Collector.org,pop.mail.com,995,SSL
Columnist.com,pop.mail.com,995,SSL
Comcast.net,mail.comcast.net,995,SSL
Comic.com,pop.mail.com,995,SSL
Computer4u.com,pop.mail.com,995,SSL
Consultant.com,pop.mail.com,995,SSL
Contractor.net,pop.mail.com,995,SSL
Coolsite.net,pop.mail.com,995,SSL
Corp.mail.ru,pop.mail.ru,995,SSL
Counsellor.com,pop.mail.com,995,SSL
Count.com,pop.mail.com,995,SSL
Couple.com,pop.mail.com,995,SSL
Cox.net,pop.cox.net,995,SSL
cp196.ezyreg.com,cp196.ezyreg.com,995,SSL
currently.com,inbound.att.net,995,SSL
Cutey.com,pop.mail.com,995,SSL
Cyberdude.com,pop.mail.com,995,SSL
Cybergal.com,pop.mail.com,995,SSL
Cyber-wizard.com,pop.mail.com,995,SSL
Dallasmail.com,pop.mail.com,995,SSL
Dbzmail.com,pop.mail.com,995,SSL
Deliveryman.com,pop.mail.com,995,SSL
demon.co.uk,mail.demon.co.uk,995,SSL
dial.pipex.com,mail.talktalk.net,995,SSL
Dianrong.com,pop.exmail.qq.com,995,SSL
Diplomats.com,pop.mail.com,995,SSL
Disciples.com,pop.mail.com,995,SSL
Doctor.com,pop.mail.com,995,SSL
Dodo.com.au,mail.bigpond.com,995,SSL
Doglover.com,pop.mail.com,995,SSL
domain.com,pop.domain.com,995,SSL
domeneshop.no,pop.domeneshop.no,995,SSL
Doramail.com,pop.mail.com,995,SSL
Dr.com,pop.mail.com,995,SSL
Dreamhost.com,pop.dreamhost.com,995,SSL
dsl.pipex.com,mail.talktalk.net,995,SSL
dsl.telkomsa.net,pop3.telkomsa.net,110,
Dublin.com,pop.mail.com,995,SSL
Earthling.net,pop.mail.com,995,SSL
Earthlink.net,pop.earthlink.net,995,SSL
eastlink.ca,pop.eastlink.ca,995,SSL
eclipse.co.uk,mail.eclipse.co.uk,110,
eircom.net,webmail.eircom.net,995,SSL
elpasotel.com,pop3.elpasotel.com,995,SSL
Elvisfan.com,pop.mail.com,995,SSL
Email.com,pop.mail.com,995,SSL
Email.cz,pop3.seznam.cz,995,SSL
Email.it,popmail.email.it,110,
Emailsrvr.com,secure.emailsrvr.com,995,SSL
email-ssl.com.br,email-ssl.com.br,995,SSL
Embarqmail.com,pop.centurylink.net,995,SSL
Engineer.com,pop.mail.com,995,SSL
Englandmail.com,pop.mail.com,995,SSL
Etisalat.ae,exmail.emirates.net.ae,995,SSL
Europe.com,pop.mail.com,995,SSL
europe.secureserver.net,pop.europe.secureserver.net,995,SSL
Europemail.com,pop.mail.com,995,SSL
everyone.net,pop.everyone.net,995,SSL
Ewetel.net,pop3s-1.ewetel.net,995,SSL
Execs.com,pop.mail.com,995,SSL
Execulink.com,sslmail.execulink.com,995,SSL
F2s.com,outmail.f2s.com,995,
Fan.com,pop.mail.com,995,SSL
Fastmail.com,pop.fastmail.com,995,SSL
Fastmail.fm,pop.fastmail.com,995,SSL
Fastwebnet.it,pop.fastwebnet.it,110,
Feelings.com,pop.mail.com,995,SSL
Financier.com,pop.mail.com,995,SSL
Fireman.net,pop.mail.com,995,SSL
Florida.usa.com,pop.mail.com,995,SSL
Footballer.com,pop.mail.com,995,SSL
Foxmail.com,pop.qq.com,995,SSL
Free.fr,pop.free.fr,110,
Freemail.hu,pop3.freemail.hu,110,
Freenet.de,mx.freenet.de,995,SSL
frontier.com,pop3.frontier.com,995,SSL
Gandi.net,mail.gandi.net,995,SSL
Gardener.com,pop.mail.com,995,SSL
Gazeta.pl,pop3.gazeta.pl,995,SSL
Geologist.com,pop.mail.com,995,SSL
Germanymail.com,pop.mail.com,995,SSL
Giallo.it,popmail.libero.it,995,SSL
Gigapec.it,pop3s.pec.aruba.it,995,SSL
Globo.com,pop.gmail.com,995,SSL
Gmail.com,pop.gmail.com,995,SSL
Gmx.ca,pop.gmx.com,995,SSL
Gmx.cn,pop.gmx.com,995,SSL
Gmx.co.in,pop.gmx.com,995,SSL
Gmx.co.uk,pop.gmx.com,995,SSL
gmx.com,pop.gmx.com,995,SSL
Gmx.com.br,pop.gmx.com,995,SSL
Gmx.com.my,pop.gmx.com,995,SSL
Gmx.com.tr,pop.gmx.com,995,SSL
Gmx.es,pop.gmx.com,995,SSL
Gmx.fr,pop.gmx.com,995,SSL
Gmx.hk,pop.gmx.com,995,SSL
Gmx.ie,pop.gmx.com,995,SSL
Gmx.it,pop.gmx.com,995,SSL
Gmx.li,pop.gmx.com,995,SSL
Gmx.ph,pop.gmx.com,995,SSL
Gmx.pt,pop.gmx.com,995,SSL
Gmx.ru,pop.gmx.com,995,SSL
Gmx.se,pop.gmx.com,995,SSL
Gmx.sg,pop.gmx.com,995,SSL
Gmx.tm,pop.gmx.com,995,SSL
Gmx.tw,pop.gmx.com,995,SSL
Gmx.us,pop.gmx.com,995,SSL
GoDaddy,pop.secureserver.net,995,SSL
Google.com,pop.gmail.com,995,SSL
Googlemail.com,pop.gmail.com,995,SSL
Graduate.org,pop.mail.com,995,SSL
Graphic-designer.com,pop.mail.com,995,SSL
gridhost.co.uk,mail3.gridhost.co.uk,995,SSL
GSuite,pop.gmail.com,995,SSL
Hackermail.com,pop.mail.com,995,SSL
Hahah.nl,pop.ziggo.nl,995,SSL
