Provider,SMTP Server,SMTP Port,SMTP Security
.mac,smtp.mail.me.com,587,TLS
.me,smtp.mail.me.com,587,TLS
1031.inord.dk,mail.telenor.dk,587,TLS
123mail.dk,mail.telenor.dk,587,TLS
123-reg.co.uk,smtp.123-reg.co.uk,465,SSL
126.com,smtp.126.com,465,SSL
12fuel.dk,mail.telenor.dk,587,TLS
12mail.dk,mail.telenor.dk,587,TLS
12move.dk,mail.telenor.dk,587,TLS
139.com,smtp.139.com,465,TLS
163.com,smtp.163.com,465,SSL
1and1.co.uk,auth.smtp.1and1.co.uk,587,TLS
1and1.com,smtp.1and1.com,587,TLS
1and1.fr,auth.smtp.1and1.fr,587,TLS
1uptime.net,mail.1uptime.net,465,SSL
2die4.com,smtp.mail.com,465,SSL
2senior.dk,mail.telenor.dk,587,TLS
3rdeyedev.com,mail.3rdeyedev.com,587,TLS
a.hostedecom,mail.a.hostedemail.com,587,TLS
a1.net,smtp.a1.net,25,
Abc.plala.or.jp,abc.mail.plala.or.jp,587,
Abit.bt,mail.abit.bt,587,STARTTLS
Abv.bg,smtp.abv.bg,465,SSL
Accountant.com,smtp.mail.com,465,SSL
Active24.com,email.active24.com,465,SSL
Activist.com,smtp.mail.com,465,SSL
Adam.com.au,securemail.adam.com.au,465,TLS
Adexec.com,smtp.mail.com,465,SSL
Africamail.com,smtp.mail.com,465,SSL
Agate.plala.or.jp,agate.mail.plala.or.jp,587,TLS
Aim.com,smtp.aol.com,465,SSL
Aircraftmail.com,smtp.mail.com,465,SSL
Airmail.net,smtp.airmail.net,587,
Alabama.usa.com,smtp.mail.com,465,SSL
Alaska.usa.com,smtp.mail.com,465,SSL
Alice.it,out.alice.it,587,
Aliceadsl.fr,smtp.aliceadsl.fr,25,
Allergist.com,smtp.mail.com,465,SSL
Alumni.com,smtp.mail.com,465,SSL
Alumnidirector.com,smtp.mail.com,465,SSL
Alumnos.upm.es,smtp.upm.es,587,TLS
Amail.plala.or.jp,amail.mail.plala.or.jp,587,
Amber.plala.or.jp,amber.mail.plala.or.jp,587,TLS
Americamail.com,smtp.mail.com,465,SSL
Ameritech.net,outbound.att.net,465,SSL
Amethyst.broba.cc,mail.broba.cc,587,
Amorous.com,smtp.mail.com,465,SSL
Anarki.dk,mail.telenor.dk,587,TLS
Anderledes.dk,mail.telenor.dk,587,TLS
Angelic.com,smtp.mail.com,465,SSL
angkasatravel.co.id,mail.angkasatravel.co.id,465,SSL
Aol.com,smtp.aol.com,465,SSL
Aon.at,securemail.a1.net,587,TLS
Apost.plala.or.jp,apost.mail.plala.or.jp,587,
Aqua.plala.or.jp,aqua.mail.plala.or.jp,587,
aquiss.net,smtp.aquiss.net,25,
Archaeologist.com,smtp.mail.com,465,SSL
Arcor.de,mail.arcor.de,465,SSL
Arizona.usa.com,smtp.mail.com,465,SSL
Artlover.com,smtp.mail.com,465,SSL
Arubapec.it,smtps.pec.aruba.it,465,SSL
asia.secureserver.net,smtpout.asia.secureserver.net,465,SSL
Asia-mail.com,smtp.mail.com,465,SSL
